,File,Total Data Transferred (MB)
0,fq_codel_10Mbps_20ms_ecn.em1.pcap,37.070578
1,fq_codel_1Mbps_20ms_ecn.em1.pcap,3.685512
2,fq_pie_10Mbps_20ms_ecn.em1.pcap,31.743157999999998
3,fq_pie_1Mbps_20ms_ecn.em1.pcap,3.562185
4,l4s_10Mbps_20ms_ecn.em1.pcap,36.384788
5,l4s_1Mbps_20ms_ecn.em1.pcap,3.576775
