enable_time_secs=1723548798	enable_time_usecs=792902	siftrver=1.3.0	sysname=FreeBSD	sysver=1401000	ipmode=4
o,1723548798.793118,10.0.2.15,22,10.0.2.2,52234,1073725440,17746,1026,65535,65700,0,0,4,1460,312,0,16777220,240000,33580,60,65700,0,0,0,4240215338,63
o,1723548798.793836,10.0.2.15,22,10.0.2.2,52234,1073725440,17746,1026,65535,65700,0,0,4,1460,312,0,16777220,240000,33580,208,65700,0,60,0,4240215338,63
o,1723548798.794350,10.0.2.15,22,10.0.2.2,52234,1073725440,17746,1026,65535,65700,0,0,4,1460,312,0,16777220,240000,33580,280,65700,0,208,0,4240215338,63
i,1723548798.794460,10.0.2.15,22,10.0.2.2,52234,1073725440,17746,1026,65535,65700,0,0,4,1460,312,0,16777220,240000,33580,280,65700,0,280,0,4240215338,63
i,1723548798.794535,10.0.2.15,22,10.0.2.2,52234,1073725440,17806,1026,65535,65700,0,0,4,1460,312,0,4,240000,33580,220,65700,0,220,0,4240215338,63
i,1723548798.794560,10.0.2.15,22,10.0.2.2,52234,1073725440,17954,1026,65535,65700,0,0,4,1460,312,0,4,240000,33580,72,65700,0,72,0,4240215338,63
i,1723548798.795065,10.0.2.15,22,10.0.2.2,52234,1073725440,18026,1026,65535,65700,0,0,4,1460,312,0,4,240000,33580,0,65700,0,0,0,4240215338,63
i,1723548798.795083,10.0.2.15,22,10.0.2.2,52234,1073725440,18026,1026,65535,65700,0,0,4,1460,312,0,4,240000,33580,0,65700,36,0,0,4240215338,63
o,1723548798.795110,10.0.2.15,22,10.0.2.2,52234,1073725440,18026,1026,65535,65700,0,0,4,1460,312,0,5,240000,33580,0,65700,96,0,0,4240215338,63
i,1723548798.795203,10.0.2.15,22,10.0.2.2,52234,1073725440,18026,1026,65535,65700,0,0,4,1460,312,0,4,240000,33580,0,65700,96,0,0,4240215338,63
o,1723548798.795230,10.0.2.15,22,10.0.2.2,52234,1073725440,18026,1026,65535,65604,0,0,5,1460,312,0,7,240000,33580,0,65700,96,0,0,4240215338,63
o,1723548798.795682,10.0.2.15,22,10.0.2.2,52234,1073725440,18026,1026,65535,65604,0,0,8,1460,312,0,4,240000,33580,0,65700,0,0,0,4240215338,63
i,1723548798.795997,10.0.2.15,22,10.0.2.2,52234,1073725440,18026,1026,65535,65604,0,0,8,1460,312,0,67108884,240000,33580,0,65700,0,1,0,4240215338,63
i,1723548802.032779,10.0.2.15,22,10.0.2.2,52242,1073725440,14600,0,65535,65700,0,0,4,1460,312,0,16777216,270000,33580,0,65700,0,0,0,3264981420,63
o,1723548802.042193,10.0.2.15,22,10.0.2.2,52242,1073725440,14600,1026,65535,65700,0,0,4,1460,312,0,16777216,270000,33580,38,65700,42,0,0,3264981420,63
i,1723548802.042981,10.0.2.15,22,10.0.2.2,52242,1073725440,14600,1026,65535,65700,0,0,4,1460,312,0,16777216,270000,33580,38,65700,0,38,0,3264981420,63
i,1723548802.043002,10.0.2.15,22,10.0.2.2,52242,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,0,0,0,3264981420,63
i,1723548802.043039,10.0.2.15,22,10.0.2.2,52242,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,1460,0,0,3264981420,63
o,1723548802.043057,10.0.2.15,22,10.0.2.2,52242,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,1,240000,33580,0,65700,1536,0,0,3264981420,63
o,1723548802.043195,10.0.2.15,22,10.0.2.2,52242,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,1120,65700,1536,0,0,3264981420,63
i,1723548802.044612,10.0.2.15,22,10.0.2.2,52242,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,1120,65700,0,1120,0,3264981420,63
i,1723548802.045519,10.0.2.15,22,10.0.2.2,52242,1073725440,15758,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,0,0,0,3264981420,63
o,1723548802.048378,10.0.2.15,22,10.0.2.2,52242,1073725440,15758,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,492,65700,0,0,0,3264981420,63
i,1723548802.049574,10.0.2.15,22,10.0.2.2,52242,1073725440,15758,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,492,65700,0,492,0,3264981420,63
i,1723548802.053960,10.0.2.15,22,10.0.2.2,52242,1073725440,16250,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,0,0,0,3264981420,63
