enable_time_secs=1723549147	enable_time_usecs=139699	siftrver=1.3.0	sysname=FreeBSD	sysver=1401000	ipmode=4
o,1723549147.140160,10.0.2.15,22,10.0.2.2,52246,1073725440,17746,1026,65535,65700,0,0,4,1460,312,0,16777220,240000,33580,172,65700,0,0,0,1794103386,63
o,1723549147.140344,10.0.2.15,22,10.0.2.2,52246,1073725440,17746,1026,65535,65700,0,0,4,1460,312,0,16777220,240000,33580,244,65700,0,172,0,1794103386,63
i,1723549147.141294,10.0.2.15,22,10.0.2.2,52246,1073725440,17746,1026,65535,65700,0,0,4,1460,312,0,16777220,240000,33580,244,65700,0,244,0,1794103386,63
i,1723549147.141314,10.0.2.15,22,10.0.2.2,52246,1073725440,17918,1026,65535,65700,0,0,4,1460,312,0,4,240000,33580,72,65700,0,72,0,1794103386,63
i,1723549147.141328,10.0.2.15,22,10.0.2.2,52246,1073725440,17990,1026,65535,65700,0,0,4,1460,312,0,4,240000,33580,0,65700,0,0,0,1794103386,63
i,1723549147.141344,10.0.2.15,22,10.0.2.2,52246,1073725440,17990,1026,65535,65700,0,0,4,1460,312,0,4,240000,33580,0,65700,96,0,0,1794103386,63
o,1723549147.141362,10.0.2.15,22,10.0.2.2,52246,1073725440,17990,1026,65535,65604,0,0,5,1460,312,0,5,240000,33580,0,65700,96,0,0,1794103386,63
o,1723549147.142314,10.0.2.15,22,10.0.2.2,52246,1073725440,17990,1026,65535,65604,0,0,8,1460,312,0,4,240000,33580,0,65700,0,0,0,1794103386,63
i,1723549147.142840,10.0.2.15,22,10.0.2.2,52246,1073725440,17990,1026,65535,65604,0,0,8,1460,312,0,67108884,240000,33580,0,65700,0,1,0,1794103386,63
i,1723549150.376724,10.0.2.15,22,10.0.2.2,52260,1073725440,14600,0,65535,65700,0,0,4,1460,312,0,16777216,270000,33580,0,65700,0,0,0,622111221,63
o,1723549150.387323,10.0.2.15,22,10.0.2.2,52260,1073725440,14600,1026,65535,65700,0,0,4,1460,312,0,16777216,270000,33580,38,65700,42,0,0,622111221,63
i,1723549150.388052,10.0.2.15,22,10.0.2.2,52260,1073725440,14600,1026,65535,65700,0,0,4,1460,312,0,16777216,270000,33580,38,65700,0,38,0,622111221,63
i,1723549150.388075,10.0.2.15,22,10.0.2.2,52260,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,0,0,0,622111221,63
i,1723549150.388091,10.0.2.15,22,10.0.2.2,52260,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,1460,0,0,622111221,63
