enable_time_secs=1723548973	enable_time_usecs=608598	siftrver=1.3.0	sysname=FreeBSD	sysver=1401000	ipmode=4
o,1723548973.609062,10.0.2.15,22,10.0.2.2,52236,1073725440,17746,1026,65535,65700,0,0,4,1460,312,0,16777220,240000,33580,172,65700,0,0,0,69214000,63
i,1723548973.609909,10.0.2.15,22,10.0.2.2,52236,1073725440,17746,1026,65535,65700,0,0,4,1460,312,0,16777220,240000,33580,172,65700,0,172,0,69214000,63
o,1723548973.609958,10.0.2.15,22,10.0.2.2,52236,1073725440,17918,1026,65535,65700,0,0,4,1460,312,0,16777220,240000,33580,72,65700,0,0,0,69214000,63
i,1723548973.612487,10.0.2.15,22,10.0.2.2,52236,1073725440,17918,1026,65535,65700,0,0,4,1460,312,0,16777220,240000,33580,72,65700,0,72,0,69214000,63
i,1723548973.612508,10.0.2.15,22,10.0.2.2,52236,1073725440,17990,1026,65535,65700,0,0,4,1460,312,0,4,240000,33580,0,65700,0,0,0,69214000,63
i,1723548973.612528,10.0.2.15,22,10.0.2.2,52236,1073725440,17990,1026,65535,65700,0,0,4,1460,312,0,4,240000,33580,0,65700,96,0,0,69214000,63
o,1723548973.612549,10.0.2.15,22,10.0.2.2,52236,1073725440,17990,1026,65535,65604,0,0,5,1460,312,0,5,240000,33580,0,65700,96,0,0,69214000,63
o,1723548973.613460,10.0.2.15,22,10.0.2.2,52236,1073725440,17990,1026,65535,65604,0,0,8,1460,312,0,4,240000,33580,0,65700,0,0,0,69214000,63
i,1723548973.614308,10.0.2.15,22,10.0.2.2,52236,1073725440,17990,1026,65535,65604,0,0,8,1460,312,0,67108884,240000,33580,0,65700,0,1,0,69214000,63
i,1723548975.911927,10.0.2.15,22,10.0.2.2,52242,1073725440,14600,0,65535,65700,0,0,4,1460,312,0,16777216,270000,33580,0,65700,0,0,0,3264981420,63
o,1723548975.923092,10.0.2.15,22,10.0.2.2,52242,1073725440,14600,1026,65535,65700,0,0,4,1460,312,0,16777216,270000,33580,38,65700,42,0,0,3264981420,63
i,1723548975.923995,10.0.2.15,22,10.0.2.2,52242,1073725440,14600,1026,65535,65700,0,0,4,1460,312,0,16777216,270000,33580,38,65700,0,38,0,3264981420,63
i,1723548975.924017,10.0.2.15,22,10.0.2.2,52242,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,0,0,0,3264981420,63
i,1723548975.924034,10.0.2.15,22,10.0.2.2,52242,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,1460,0,0,3264981420,63
o,1723548975.924052,10.0.2.15,22,10.0.2.2,52242,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,1,240000,33580,0,65700,1536,0,0,3264981420,63
o,1723548975.925123,10.0.2.15,22,10.0.2.2,52242,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,1120,65700,1536,0,0,3264981420,63
i,1723548975.925983,10.0.2.15,22,10.0.2.2,52242,1073725440,14638,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,1120,65700,0,1120,0,3264981420,63
i,1723548975.927452,10.0.2.15,22,10.0.2.2,52242,1073725440,15758,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,0,0,0,3264981420,63
o,1723548975.932183,10.0.2.15,22,10.0.2.2,52242,1073725440,15758,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,492,65700,0,0,0,3264981420,63
i,1723548975.934059,10.0.2.15,22,10.0.2.2,52242,1073725440,15758,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,492,65700,0,492,0,3264981420,63
i,1723548975.937408,10.0.2.15,22,10.0.2.2,52242,1073725440,16250,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,0,0,0,3264981420,63
i,1723548975.937424,10.0.2.15,22,10.0.2.2,52242,1073725440,16250,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,16,0,0,3264981420,63
o,1723548975.937440,10.0.2.15,22,10.0.2.2,52242,1073725440,16250,1026,65535,65700,0,0,4,1460,312,0,1,240000,33580,0,65700,60,0,0,3264981420,63
o,1723548975.937593,10.0.2.15,22,10.0.2.2,52242,1073725440,16250,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,44,65700,0,0,0,3264981420,63
i,1723548975.938395,10.0.2.15,22,10.0.2.2,52242,1073725440,16250,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,44,65700,0,44,0,3264981420,63
i,1723548975.938410,10.0.2.15,22,10.0.2.2,52242,1073725440,16294,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,0,0,0,3264981420,63
o,1723548975.939768,10.0.2.15,22,10.0.2.2,52242,1073725440,16294,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,68,65700,0,0,0,3264981420,63
i,1723548975.940348,10.0.2.15,22,10.0.2.2,52242,1073725440,16294,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,68,65700,0,68,0,3264981420,63
i,1723548975.940365,10.0.2.15,22,10.0.2.2,52242,1073725440,16362,1026,65535,65700,0,0,4,1460,312,0,0,240000,33580,0,65700,0,0,0,3264981420,63
o,1723548975.941157,10.0.2.15,22,10.0.2.2,52242,1073725440,16362,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,332,65700,0,0,0,3264981420,63
i,1723548975.941937,10.0.2.15,22,10.0.2.2,52242,1073725440,16362,1026,65535,65700,0,0,4,1460,312,0,16777216,240000,33580,332,65700,0,332,0,3264981420,63
